"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|CH","Generation - Solar  [MW] Intraday / BZN|CH","Generation - Solar  [MW] Current / BZN|CH","Generation - Wind Offshore  [MW] Day Ahead/ BZN|CH","Generation - Wind Offshore  [MW] Intraday / BZN|CH","Generation - Wind Offshore  [MW] Current / BZN|CH","Generation - Wind Onshore  [MW] Day Ahead/ BZN|CH","Generation - Wind Onshore  [MW] Intraday / BZN|CH","Generation - Wind Onshore  [MW] Current / BZN|CH"
"22.03.2020 18:00 - 22.03.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"22.03.2020 19:00 - 22.03.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"22.03.2020 20:00 - 22.03.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"22.03.2020 21:00 - 22.03.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"22.03.2020 22:00 - 22.03.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"22.03.2020 23:00 - 23.03.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 00:00 - 23.03.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 01:00 - 23.03.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 02:00 - 23.03.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 03:00 - 23.03.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 04:00 - 23.03.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 05:00 - 23.03.2020 06:00","1","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 06:00 - 23.03.2020 07:00","15","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 07:00 - 23.03.2020 08:00","47","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 08:00 - 23.03.2020 09:00","91","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 09:00 - 23.03.2020 10:00","136","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 10:00 - 23.03.2020 11:00","162","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 11:00 - 23.03.2020 12:00","174","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 12:00 - 23.03.2020 13:00","173","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 13:00 - 23.03.2020 14:00","157","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 14:00 - 23.03.2020 15:00","130","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 15:00 - 23.03.2020 16:00","91","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 16:00 - 23.03.2020 17:00","44","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 17:00 - 23.03.2020 18:00","7","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 18:00 - 23.03.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 19:00 - 23.03.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 20:00 - 23.03.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 21:00 - 23.03.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 22:00 - 23.03.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"23.03.2020 23:00 - 24.03.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 00:00 - 24.03.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 01:00 - 24.03.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 02:00 - 24.03.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 03:00 - 24.03.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 04:00 - 24.03.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 05:00 - 24.03.2020 06:00","1","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 06:00 - 24.03.2020 07:00","16","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 07:00 - 24.03.2020 08:00","50","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 08:00 - 24.03.2020 09:00","97","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 09:00 - 24.03.2020 10:00","145","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 10:00 - 24.03.2020 11:00","172","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 11:00 - 24.03.2020 12:00","183","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 12:00 - 24.03.2020 13:00","181","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 13:00 - 24.03.2020 14:00","162","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 14:00 - 24.03.2020 15:00","133","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 15:00 - 24.03.2020 16:00","92","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 16:00 - 24.03.2020 17:00","45","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 17:00 - 24.03.2020 18:00","7","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 18:00 - 24.03.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 19:00 - 24.03.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 20:00 - 24.03.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 21:00 - 24.03.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 22:00 - 24.03.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"24.03.2020 23:00 - 25.03.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 00:00 - 25.03.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 01:00 - 25.03.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 02:00 - 25.03.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 03:00 - 25.03.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 04:00 - 25.03.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 05:00 - 25.03.2020 06:00","1","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 06:00 - 25.03.2020 07:00","17","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 07:00 - 25.03.2020 08:00","52","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 08:00 - 25.03.2020 09:00","98","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 09:00 - 25.03.2020 10:00","144","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 10:00 - 25.03.2020 11:00","170","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 11:00 - 25.03.2020 12:00","181","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 12:00 - 25.03.2020 13:00","178","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 13:00 - 25.03.2020 14:00","158","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 14:00 - 25.03.2020 15:00","128","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 15:00 - 25.03.2020 16:00","89","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 16:00 - 25.03.2020 17:00","43","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 17:00 - 25.03.2020 18:00","8","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 18:00 - 25.03.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 19:00 - 25.03.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 20:00 - 25.03.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 21:00 - 25.03.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 22:00 - 25.03.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"25.03.2020 23:00 - 26.03.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 00:00 - 26.03.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 01:00 - 26.03.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 02:00 - 26.03.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 03:00 - 26.03.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 04:00 - 26.03.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 05:00 - 26.03.2020 06:00","1","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 06:00 - 26.03.2020 07:00","17","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 07:00 - 26.03.2020 08:00","52","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 08:00 - 26.03.2020 09:00","98","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 09:00 - 26.03.2020 10:00","144","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 10:00 - 26.03.2020 11:00","170","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 11:00 - 26.03.2020 12:00","181","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 12:00 - 26.03.2020 13:00","178","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 13:00 - 26.03.2020 14:00","160","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 14:00 - 26.03.2020 15:00","131","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 15:00 - 26.03.2020 16:00","92","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 16:00 - 26.03.2020 17:00","45","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 17:00 - 26.03.2020 18:00","9","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 18:00 - 26.03.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 19:00 - 26.03.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 20:00 - 26.03.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 21:00 - 26.03.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 22:00 - 26.03.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"26.03.2020 23:00 - 27.03.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 00:00 - 27.03.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 01:00 - 27.03.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 02:00 - 27.03.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 03:00 - 27.03.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 04:00 - 27.03.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 05:00 - 27.03.2020 06:00","1","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 06:00 - 27.03.2020 07:00","18","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 07:00 - 27.03.2020 08:00","53","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 08:00 - 27.03.2020 09:00","99","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 09:00 - 27.03.2020 10:00","147","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 10:00 - 27.03.2020 11:00","174","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 11:00 - 27.03.2020 12:00","185","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 12:00 - 27.03.2020 13:00","182","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 13:00 - 27.03.2020 14:00","163","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 14:00 - 27.03.2020 15:00","131","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 15:00 - 27.03.2020 16:00","89","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 16:00 - 27.03.2020 17:00","43","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 17:00 - 27.03.2020 18:00","9","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 18:00 - 27.03.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 19:00 - 27.03.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 20:00 - 27.03.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 21:00 - 27.03.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 22:00 - 27.03.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"27.03.2020 23:00 - 28.03.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 00:00 - 28.03.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 01:00 - 28.03.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 02:00 - 28.03.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 03:00 - 28.03.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 04:00 - 28.03.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 05:00 - 28.03.2020 06:00","1","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 06:00 - 28.03.2020 07:00","18","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 07:00 - 28.03.2020 08:00","52","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 08:00 - 28.03.2020 09:00","95","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 09:00 - 28.03.2020 10:00","138","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 10:00 - 28.03.2020 11:00","160","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 11:00 - 28.03.2020 12:00","163","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 12:00 - 28.03.2020 13:00","152","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 13:00 - 28.03.2020 14:00","129","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 14:00 - 28.03.2020 15:00","97","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 15:00 - 28.03.2020 16:00","65","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 16:00 - 28.03.2020 17:00","33","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 17:00 - 28.03.2020 18:00","7","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 18:00 - 28.03.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 19:00 - 28.03.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 20:00 - 28.03.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 21:00 - 28.03.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 22:00 - 28.03.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"28.03.2020 23:00 - 29.03.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 00:00 - 29.03.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 01:00 - 29.03.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 02:00 - 29.03.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 03:00 - 29.03.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 04:00 - 29.03.2020 05:00","1","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 05:00 - 29.03.2020 06:00","14","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 06:00 - 29.03.2020 07:00","33","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 07:00 - 29.03.2020 08:00","47","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 08:00 - 29.03.2020 09:00","64","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 09:00 - 29.03.2020 10:00","73","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 10:00 - 29.03.2020 11:00","74","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 11:00 - 29.03.2020 12:00","70","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 12:00 - 29.03.2020 13:00","60","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 13:00 - 29.03.2020 14:00","47","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 14:00 - 29.03.2020 15:00","32","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 15:00 - 29.03.2020 16:00","17","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 16:00 - 29.03.2020 17:00","4","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 17:00 - 29.03.2020 18:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 18:00 - 29.03.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 19:00 - 29.03.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 20:00 - 29.03.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 21:00 - 29.03.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 22:00 - 29.03.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"29.03.2020 23:00 - 30.03.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 00:00 - 30.03.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 01:00 - 30.03.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 02:00 - 30.03.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 03:00 - 30.03.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 04:00 - 30.03.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 05:00 - 30.03.2020 06:00","1","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 06:00 - 30.03.2020 07:00","18","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 07:00 - 30.03.2020 08:00","44","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 08:00 - 30.03.2020 09:00","69","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 09:00 - 30.03.2020 10:00","99","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 10:00 - 30.03.2020 11:00","118","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 11:00 - 30.03.2020 12:00","128","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 12:00 - 30.03.2020 13:00","128","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 13:00 - 30.03.2020 14:00","118","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 14:00 - 30.03.2020 15:00","97","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 15:00 - 30.03.2020 16:00","70","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 16:00 - 30.03.2020 17:00","38","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 17:00 - 30.03.2020 18:00","10","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 18:00 - 30.03.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 19:00 - 30.03.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 20:00 - 30.03.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 21:00 - 30.03.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 22:00 - 30.03.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"30.03.2020 23:00 - 31.03.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 00:00 - 31.03.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 01:00 - 31.03.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 02:00 - 31.03.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 03:00 - 31.03.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 04:00 - 31.03.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 05:00 - 31.03.2020 06:00","2","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 06:00 - 31.03.2020 07:00","22","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 07:00 - 31.03.2020 08:00","59","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 08:00 - 31.03.2020 09:00","107","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 09:00 - 31.03.2020 10:00","154","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 10:00 - 31.03.2020 11:00","180","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 11:00 - 31.03.2020 12:00","190","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 12:00 - 31.03.2020 13:00","187","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 13:00 - 31.03.2020 14:00","168","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 14:00 - 31.03.2020 15:00","135","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 15:00 - 31.03.2020 16:00","96","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 16:00 - 31.03.2020 17:00","50","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 17:00 - 31.03.2020 18:00","13","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 18:00 - 31.03.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 19:00 - 31.03.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 20:00 - 31.03.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 21:00 - 31.03.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 22:00 - 31.03.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"31.03.2020 23:00 - 01.04.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.04.2020 00:00 - 01.04.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.04.2020 01:00 - 01.04.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.04.2020 02:00 - 01.04.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.04.2020 03:00 - 01.04.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.04.2020 04:00 - 01.04.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.04.2020 05:00 - 01.04.2020 06:00","2","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.04.2020 06:00 - 01.04.2020 07:00","23","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.04.2020 07:00 - 01.04.2020 08:00","62","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.04.2020 08:00 - 01.04.2020 09:00","109","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.04.2020 09:00 - 01.04.2020 10:00","153","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.04.2020 10:00 - 01.04.2020 11:00","179","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.04.2020 11:00 - 01.04.2020 12:00","190","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.04.2020 12:00 - 01.04.2020 13:00","186","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.04.2020 13:00 - 01.04.2020 14:00","166","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"01.04.2020 14:00 - 01.04.2020 15:00","133","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
