"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|CH","Generation - Solar  [MW] Intraday / BZN|CH","Generation - Solar  [MW] Current / BZN|CH","Generation - Wind Offshore  [MW] Day Ahead/ BZN|CH","Generation - Wind Offshore  [MW] Intraday / BZN|CH","Generation - Wind Offshore  [MW] Current / BZN|CH","Generation - Wind Onshore  [MW] Day Ahead/ BZN|CH","Generation - Wind Onshore  [MW] Intraday / BZN|CH","Generation - Wind Onshore  [MW] Current / BZN|CH"
"03.01.2020 02:00 - 03.01.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 03:00 - 03.01.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 04:00 - 03.01.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 05:00 - 03.01.2020 06:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 06:00 - 03.01.2020 07:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 07:00 - 03.01.2020 08:00","3","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 08:00 - 03.01.2020 09:00","18","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 09:00 - 03.01.2020 10:00","37","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 10:00 - 03.01.2020 11:00","58","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 11:00 - 03.01.2020 12:00","57","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 12:00 - 03.01.2020 13:00","50","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 13:00 - 03.01.2020 14:00","39","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 14:00 - 03.01.2020 15:00","25","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 15:00 - 03.01.2020 16:00","8","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 16:00 - 03.01.2020 17:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 17:00 - 03.01.2020 18:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 18:00 - 03.01.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 19:00 - 03.01.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 20:00 - 03.01.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 21:00 - 03.01.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 22:00 - 03.01.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"03.01.2020 23:00 - 04.01.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 00:00 - 04.01.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 01:00 - 04.01.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 02:00 - 04.01.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 03:00 - 04.01.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 04:00 - 04.01.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 05:00 - 04.01.2020 06:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 06:00 - 04.01.2020 07:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 07:00 - 04.01.2020 08:00","2","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 08:00 - 04.01.2020 09:00","10","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 09:00 - 04.01.2020 10:00","20","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 10:00 - 04.01.2020 11:00","31","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 11:00 - 04.01.2020 12:00","33","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 12:00 - 04.01.2020 13:00","30","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 13:00 - 04.01.2020 14:00","27","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 14:00 - 04.01.2020 15:00","21","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 15:00 - 04.01.2020 16:00","7","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 16:00 - 04.01.2020 17:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 17:00 - 04.01.2020 18:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 18:00 - 04.01.2020 19:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 19:00 - 04.01.2020 20:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 20:00 - 04.01.2020 21:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 21:00 - 04.01.2020 22:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 22:00 - 04.01.2020 23:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"04.01.2020 23:00 - 05.01.2020 00:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 00:00 - 05.01.2020 01:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 01:00 - 05.01.2020 02:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 02:00 - 05.01.2020 03:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 03:00 - 05.01.2020 04:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 04:00 - 05.01.2020 05:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 05:00 - 05.01.2020 06:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 06:00 - 05.01.2020 07:00","0","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 07:00 - 05.01.2020 08:00","3","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 08:00 - 05.01.2020 09:00","17","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 09:00 - 05.01.2020 10:00","35","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 10:00 - 05.01.2020 11:00","59","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 11:00 - 05.01.2020 12:00","63","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
"05.01.2020 12:00 - 05.01.2020 13:00","59","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e"
